Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Field Label Only Not Used in Data Dictionary,Field 1
radio,crf_2_demography_and_ses,,radio,Radio / radio cassette/ CD player  ,"0, No | 1, Yes",,,,,,,y,,,household_appliances,,"@p1000lang{""English"":""Radio / radio cassette/ CD player  "",""Swahili"":""redio/redio kaseti/CD"",""Cebuano"":""Radio / radio cassette/ CD player  "",""Hiligaynon"":""Radio / radio cassette/ CD player  ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Radio / radio cassette/ CD player  ,
phone,crf_2_demography_and_ses,,radio,Landline Telephone ,"0, No | 1, Yes",,,,,,,y,,,household_appliances,,"@p1000lang{""English"":""Landline Telephone "",""Swahili"":""Simu ya mezani"",""Cebuano"":""Landline Telephone "",""Hiligaynon"":""Landline Telephone ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Landline Telephone ,
cellphone,crf_2_demography_and_ses,,radio,Cellular phone,"0, No | 1, Yes",,,,,,,y,,,household_appliances,,"@p1000lang{""English"":""Cellular phone"",""Swahili"":""Simu ya mkononi\t"",""Cebuano"":""Cellular phone"",""Hiligaynon"":""Cellular phone""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Cellular phone,
efan,crf_2_demography_and_ses,,radio,Electric Fan,"0, No | 1, Yes",,,,,,,y,,,household_appliances,,"@p1000lang{""English"":""Electric Fan"",""Swahili"":""Electric Fan"",""Cebuano"":""Electric Fan"",""Hiligaynon"":""Electric Fan""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Electric Fan,
ac,crf_2_demography_and_ses,,radio,Air conditioner/ Air cooler ,"0, No | 1, Yes",,,,,,,y,,,household_appliances,,"@p1000lang{""English"":""Air conditioner/ Air cooler "",""Swahili"":""Kiyoyozi/kifaa cha kuweka hewa baridi"",""Cebuano"":""Air conditioner/ Air cooler "",""Hiligaynon"":""Air conditioner/ Air cooler ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Air conditioner/ Air cooler ,
sewing,crf_2_demography_and_ses,,radio,Sewing Machine ,"0, No | 1, Yes",,,,,,,y,,,household_appliances,,"@p1000lang{""English"":""Sewing Machine "",""Swahili"":""Cherehani"",""Cebuano"":""Sewing Machine "",""Hiligaynon"":""Sewing Machine ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Sewing Machine ,
cow,crf_2_demography_and_ses,,radio,Carabao/ Cattle / Cow ,"0, No | 1, Yes",,,,,,,y,,,livestock,,"@p1000lang{""English"":""Carabao/ Cattle / Cow "",""Swahili"":""Ngombe"",""Cebuano"":""Carabao/ Cattle / Cow "",""Hiligaynon"":""Carabao/ Cattle / Cow ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Carabao/ Cattle / Cow ,
pig,crf_2_demography_and_ses,,radio,Swine / Pig / Ram ,"0, No | 1, Yes",,,,,,,y,,,livestock,,"@p1000lang{""English"":""Swine / Pig / Ram "",""Swahili"":""Nguruwe"",""Cebuano"":""Swine / Pig / Ram "",""Hiligaynon"":""Swine / Pig / Ram ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Swine / Pig / Ram ,
goat,crf_2_demography_and_ses,,radio,Goat / Sheep,"0, No | 1, Yes",,,,,,,y,,,livestock,,"@p1000lang{""English"":""Goat / Sheep"",""Swahili"":""Mbuzi/kondoo"",""Cebuano"":""Goat / Sheep"",""Hiligaynon"":""Goat / Sheep""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Goat / Sheep,
poultry_own,crf_2_demography_and_ses,,radio,Chicken / duck / poultry ,"0, No | 1, Yes",,,,,,,y,,,livestock,,"@p1000lang{""English"":""Chicken / duck / poultry "",""Swahili"":""Kuku/bata/jamii ya kuku"",""Cebuano"":""Chicken / duck / poultry "",""Hiligaynon"":""Chicken / duck / poultry ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Chicken / duck / poultry ,
bike,crf_2_demography_and_ses,,radio,Bicycle / Trisikad / Pedicab ,"0, No | 1, Yes",,,,,,,y,,,transportation,,"@p1000lang{""English"":""Bicycle / Trisikad / Pedicab "",""Swahili"":""basikeli, basikeli ya magurudumu matatu"",""Cebuano"":""Bicycle / Trisikad / Pedicab "",""Hiligaynon"":""Bicycle / Trisikad / Pedicab ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Bicycle / Trisikad / Pedicab ,
motorcycle,crf_2_demography_and_ses,,radio,Motorcycle  ,"0, No | 1, Yes",,,,,,,y,,,transportation,,"@p1000lang{""English"":""Motorcycle  "",""Swahili"":""pikipiki ya magurudumu matatu/bajaji/pikipiki"",""Cebuano"":""Motorcycle  "",""Hiligaynon"":""Motorcycle  ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Motorcycle  ,
car,crf_2_demography_and_ses,,radio,Car/Jeep/van/truck ,"0, No | 1, Yes",,,,,,,y,,,transportation,,"@p1000lang{""English"":""Car/Jeep/van/truck "",""Swahili"":""Gari ndogo/kubwa"",""Cebuano"":""Car/Jeep/van/truck "",""Hiligaynon"":""Car/Jeep/van/truck ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Car/Jeep/van/truck ,
boat,crf_2_demography_and_ses,,radio,Motorized boat / banca,"0, No | 1, Yes",,,,,,,y,,,transportation,,"@p1000lang{""English"":""Motorized boat / banca"",""Swahili"":""mtumbwi wenye injini"",""Cebuano"":""Motorized boat / banca"",""Hiligaynon"":""Motorized boat / banca""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Motorized boat / banca,
tractor,crf_2_demography_and_ses,,radio,Tractor,"0, No | 1, Yes",,,,,,,y,,,transportation,,"@p1000lang{""English"":""Tractor"",""Swahili"":""Trekta"",""Cebuano"":""Tractor"",""Hiligaynon"":""Tractor""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""hapana"",""1"":""ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Tractor,
table,crf_2_demography_and_ses,,radio,Table,"0, No | 1, Yes",,,,,,,y,,,own_others,,"@p1000lang{""English"":""Table"",""Swahili"":""Meza"",""Cebuano"":""Table"",""Hiligaynon"":""Table""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Table,
chair,crf_2_demography_and_ses,,radio,Chair,"0, No | 1, Yes",,,,,,,y,,,own_others,,"@p1000lang{""English"":""Chair"",""Swahili"":""Kiti"",""Cebuano"":""Chair"",""Hiligaynon"":""Chair""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Chair,
personnel12,crf_12_diet,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
timestamp12,crf_12_diet,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
desc_text_crf12,crf_12_diet,,descriptive,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",,,,,,,,,,,,,,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",
clinic_date_diet,crf_12_diet,,text,[12.1] Date of clinic visit,,,date_dmy,,,,,y,,[12.1],,,,Date of clinic visit,12.1
desc_text_diet,crf_12_diet,,descriptive,"The questions below refer to your diet over the past month. We know you do not eat the same thing every day but try to estimate how many servings you ate each week over the past month (4 weeks) of the various foods below. We give estimates below of about how large a serving is for different types of food.

You probably also ate some foods which we are not asking about because they are not of importance to the SAMPA study.

",,,,,,,,,,,,,,"The questions below refer to your diet over the past month. We know you do not eat the same thing every day but try to estimate how many servings you ate each week over the past month (4 weeks) of the various foods below. We give estimates below of about how large a serving is for different types of food.

You probably also ate some foods which we are not asking about because they are not of importance to the SAMPA study.

",
desc_fruit,crf_12_diet,,descriptive,"<h1 class=""red"" style=""text-align: left;""><span style=""font-weight: bold;"">Fresh/Non-processed Fruits – a serving is one piece of a larger fruit or about a handful of smaller or cut-up fruits</span></h1>",,,,,,,,,,,,,,"<h1 class=""red"" style=""text-align: left;""><span style=""font-weight: bold;"">Fresh/Non-processed Fruits – a serving is one piece of a larger fruit or about a handful of smaller or cut-up fruits</span></h1>",
citrus,crf_12_diet,,radio,"[12.2] Citrus fruits, e.g. orange, lemon, lime, sweet lime, kalamansi","1, Never | 2, <1 serving/week (small portions or rarely) | 3,1 serving/week | 4, 2-3 servings / week | 5, 4-5 servings / week | 6, 6 or more servings / week",,,,,,,y,,[12.2],,,"@p1000lang{""English"":""[12.2] Citrus fruits, e.g. orange, lemon, lime, sweet lime, kalamansi"",""Swahili"":""[12.2] Matunda jamii ya machungwa kama machungwa, limao, ndimu, kalamansi"",""Cebuano"":""[12.2] Mga prutas nga sitrus, sama sa orange, lemon, lime,  sweet lime, kalamansi/lemonsito"",""Hiligaynon"":""[12.2] Sitrus nga mga Prutas, e.g orange,lemon, lime, tam-is nga lime, suha""}  @p1000answers{""English"":{""1"":""Never"",""2"":""< 1 serving/week (small portions or rarely)"",""3"":""1 serving/week"",""4"":""2-3 servings / week"",""5"":""4-5 servings / week"",""6"":""6 or more servings / week""},""Swahili"":{""1"":""Sijawahi"",""2"":""< lesheni 1/wiki (kiasi kidogo au mara chache sana)"",""3"":""lesheni 1/wiki"",""4"":""lesheni 2-3/wiki"",""5"":""lesheni 4-5/wiki"",""6"":""lesheni 6 au zaidi/wiki""},""Cebuano"":{""1"":""Wala gyud"",""2"":""< 1 serving/semana (gagmay nga bahin o panagsa ra)"",""3"":""1 serving/semana"",""4"":""2-3 servings / semana"",""5"":""4 - 5 servings / semana"",""6"":""unom o sobra sa unom ka serbing kada semana""},""Hiligaynon"":{""1"":""Wala gid"",""2"":""Manubo sa isa ka semana (Diutay nga bahin ukon Malaka)"",""3"":""Ka-isa sa isa ka semana"",""4"":""Duwa ukon tatlo ka beses sa isa ka semana"",""5"":""Apat ukon lima ka beses sa isa ka semana"",""6"":""num ukon sobra sa anum ka serbing kada semana""}}","Citrus fruits, e.g. orange, lemon, lime, sweet lime, kalamansi",12.2
berries,crf_12_diet,,radio,"[12.3] Berries, e.g. strawberries, blackberries, jamun, litchi, wild fruit","1, Never | 2, <1 serving/week (small portions or rarely) | 3,1 serving/week | 4, 2-3 servings / week | 5, 4-5 servings / week | 6, 6 or more servings / week",,,,,,,y,,[12.3],,,"@p1000lang{""English"":""[12.3] Berries, e.g. strawberries, blackberries, jamun, litchi, wild fruit"",""Swahili"":""[12.3] Matunda, mfano, strawberries, jamun, matunda ya porini"",""Cebuano"":""[12.3] Berries, sama sa strawberries, blackberries, jamun, litchi, wild fruit"",""Hiligaynon"":""[12.3] Berries, e.g. strawberries, blackberries, jamun, lychee, wild nga prutas""}  @p1000answers{""English"":{""1"":""Never"",""2"":""< 1 serving/week (small portions or rarely)"",""3"":""1 serving/week"",""4"":""2-3 servings / week"",""5"":""4-5 servings / week"",""6"":""6 or more servings / week""},""Swahili"":{""1"":""Sijawahi"",""2"":""< lesheni 1/wiki (kiasi kidogo au mara chache sana)"",""3"":""lesheni 1/wiki"",""4"":""lesheni 2-3/wiki"",""5"":""lesheni 4-5/wiki"",""6"":""lesheni 6 au zaidi/wiki""},""Cebuano"":{""1"":""Wala gyud"",""2"":""< 1 serving/semana (gagmay nga bahin o panagsa ra)"",""3"":""1 serving/semana"",""4"":""2-3 servings / semana"",""5"":""4 - 5 servings / semana"",""6"":""unom o sobra sa unom ka serbing kada semana""},""Hiligaynon"":{""1"":""Wala gid"",""2"":""Manubo sa isa ka semana (Diutay nga bahin ukon Malaka)"",""3"":""Ka-isa sa isa ka semana"",""4"":""Duwa ukon tatlo ka beses sa isa ka semana"",""5"":""Apat ukon lima ka beses sa isa ka semana"",""6"":""num ukon sobra sa anum ka serbing kada semana""}}","Berries, e.g. strawberries, blackberries, jamun, litchi, wild fruit",12.3
bananas,crf_12_diet,,radio,"[12.4] Bananas, i.e. fresh bananas, not fried which go under fried foods","1, Never | 2, <1 serving/week (small portions or rarely) | 3,1 serving/week | 4, 2-3 servings / week | 5, 4-5 servings / week | 6, 6 or more servings / week",,,,,,,y,,[12.4],,,"@p1000lang{""English"":""[12.4] Bananas, i.e. fresh bananas, not fried which go under fried foods"",""Swahili"":""[12.4] Ndizi, ndizi freshi/mpya, sio za kukaanga (ambazo zimewekwa kwenye kundi la vyakula vya kukaanga)"",""Cebuano"":""[12.4] Saging, sama sa presko nga saging, dili pinirito nga adto kauban sa mga pritong pagkaon"",""Hiligaynon"":""[12.4] Saging, i.e. preska nga saging, wala na prito kay ini napaidalum sa pinirito nga mga pagkaon.""}  @p1000answers{""English"":{""1"":""Never"",""2"":""< 1 serving/week (small portions or rarely)"",""3"":""1 serving/week"",""4"":""2-3 servings / week"",""5"":""4-5 servings / week"",""6"":""6 or more servings / week""},""Swahili"":{""1"":""Sijawahi"",""2"":""< lesheni 1/wiki (kiasi kidogo au mara chache sana)"",""3"":""lesheni 1/wiki"",""4"":""lesheni 2-3/wiki"",""5"":""lesheni 4-5/wiki"",""6"":""lesheni 6 au zaidi/wiki""},""Cebuano"":{""1"":""Wala gyud"",""2"":""< 1 serving/semana (gagmay nga bahin o panagsa ra)"",""3"":""1 serving/semana"",""4"":""2-3 servings / semana"",""5"":""4 - 5 servings / semana"",""6"":""unom o sobra sa unom ka serbing kada semana""},""Hiligaynon"":{""1"":""Wala gid"",""2"":""Manubo sa isa ka semana (Diutay nga bahin ukon Malaka)"",""3"":""Ka-isa sa isa ka semana"",""4"":""Duwa ukon tatlo ka beses sa isa ka semana"",""5"":""Apat ukon lima ka beses sa isa ka semana"",""6"":""num ukon sobra sa anum ka serbing kada semana""}}","Bananas, i.e. fresh bananas, not fried which go under fried foods",12.4
apples,crf_12_diet,,radio,"[12.5] Apples, pears, grapes","1, Never | 2, <1 serving/week (small portions or rarely) | 3,1 serving/week | 4, 2-3 servings / week | 5, 4-5 servings / week | 6, 6 or more servings / week",,,,,,,y,,[12.5],,,"@p1000lang{""English"":""[12.5] Apples, pears, grapes"",""Swahili"":""[12.5] tufaa, pea, zabibu"",""Cebuano"":""[12.5] Mansanas/Apples, peras/pears, grapes"",""Hiligaynon"":""[12.5] Mansanas, peras, ubas""}  @p1000answers{""English"":{""1"":""Never"",""2"":""< 1 serving/week (small portions or rarely)"",""3"":""1 serving/week"",""4"":""2-3 servings / week"",""5"":""4-5 servings / week"",""6"":""6 or more servings / week""},""Swahili"":{""1"":""Sijawahi"",""2"":""< lesheni 1/wiki (kiasi kidogo au mara chache sana)"",""3"":""lesheni 1/wiki"",""4"":""lesheni 2-3/wiki"",""5"":""lesheni 4-5/wiki"",""6"":""lesheni 6 au zaidi/wiki""},""Cebuano"":{""1"":""Wala gyud"",""2"":""< 1 serving/semana (gagmay nga bahin o panagsa ra)"",""3"":""1 serving/semana"",""4"":""2-3 servings / semana"",""5"":""4 - 5 servings / semana"",""6"":""unom o sobra sa unom ka serbing kada semana""},""Hiligaynon"":{""1"":""Wala gid"",""2"":""Manubo sa isa ka semana (Diutay nga bahin ukon Malaka)"",""3"":""Ka-isa sa isa ka semana"",""4"":""Duwa ukon tatlo ka beses sa isa ka semana"",""5"":""Apat ukon lima ka beses sa isa ka semana"",""6"":""num ukon sobra sa anum ka serbing kada semana""}}","Apples, pears, grapes",12.5
pineapples,crf_12_diet,,radio,[12.6] Pineapples ,"1, Never | 2, <1 serving/week (small portions or rarely) | 3,1 serving/week | 4, 2-3 servings / week | 5, 4-5 servings / week | 6, 6 or more servings / week",,,,,,,y,,[12.6],,,"@p1000lang{""English"":""[12.6] Pineapples "",""Swahili"":""[12.6] Mananasi"",""Cebuano"":""[12.6] Pinya"",""Hiligaynon"":""[12.6] Pinya""}  @p1000answers{""English"":{""1"":""Never"",""2"":""< 1 serving/week (small portions or rarely)"",""3"":""1 serving/week"",""4"":""2-3 servings / week"",""5"":""4-5 servings / week"",""6"":""6 or more servings / week""},""Swahili"":{""1"":""Sijawahi"",""2"":""< lesheni 1/wiki (kiasi kidogo au mara chache sana)"",""3"":""lesheni 1/wiki"",""4"":""lesheni 2-3/wiki"",""5"":""lesheni 4-5/wiki"",""6"":""lesheni 6 au zaidi/wiki""},""Cebuano"":{""1"":""Wala gyud"",""2"":""< 1 serving/semana (gagmay nga bahin o panagsa ra)"",""3"":""1 serving/semana"",""4"":""2-3 servings / semana"",""5"":""4 - 5 servings / semana"",""6"":""unom o sobra sa unom ka serbing kada semana""},""Hiligaynon"":{""1"":""Wala gid"",""2"":""Manubo sa isa ka semana (Diutay nga bahin ukon Malaka)"",""3"":""Ka-isa sa isa ka semana"",""4"":""Duwa ukon tatlo ka beses sa isa ka semana"",""5"":""Apat ukon lima ka beses sa isa ka semana"",""6"":""num ukon sobra sa anum ka serbing kada semana""}}",Pineapples ,12.6
mango,crf_12_diet,,radio,"[12.7] Mangoes, papaya, sapota, guava","1, Never | 2, <1 serving/week (small portions or rarely) | 3,1 serving/week | 4, 2-3 servings / week | 5, 4-5 servings / week | 6, 6 or more servings / week",,,,,,,y,,[12.7],,,"@p1000lang{""English"":""[12.7] Mangoes, papaya, sapota, guava"",""Swahili"":""[12.7] Maembe, mapapai, sapota,mapera"",""Cebuano"":""[12.7] Mangga, kapayas, sapota, bayabas "",""Hiligaynon"":""[12.7] Paho, kapayas, Chiko, bayabas""}  @p1000answers{""English"":{""1"":""Never"",""2"":""< 1 serving/week (small portions or rarely)"",""3"":""1 serving/week"",""4"":""2-3 servings / week"",""5"":""4-5 servings / week"",""6"":""6 or more servings / week""},""Swahili"":{""1"":""Sijawahi"",""2"":""< lesheni 1/wiki (kiasi kidogo au mara chache sana)"",""3"":""lesheni 1/wiki"",""4"":""lesheni 2-3/wiki"",""5"":""lesheni 4-5/wiki"",""6"":""lesheni 6 au zaidi/wiki""},""Cebuano"":{""1"":""Wala gyud"",""2"":""< 1 serving/semana (gagmay nga bahin o panagsa ra)"",""3"":""1 serving/semana"",""4"":""2-3 servings / semana"",""5"":""4 - 5 servings / semana"",""6"":""unom o sobra sa unom ka serbing kada semana""},""Hiligaynon"":{""1"":""Wala gid"",""2"":""Manubo sa isa ka semana (Diutay nga bahin ukon Malaka)"",""3"":""Ka-isa sa isa ka semana"",""4"":""Duwa ukon tatlo ka beses sa isa ka semana"",""5"":""Apat ukon lima ka beses sa isa ka semana"",""6"":""num ukon sobra sa anum ka serbing kada semana""}}","Mangoes, papaya, sapota, guava",12.7
melon,crf_12_diet,,radio,"[12.8] Melons, any type including watermelons","1, Never | 2, <1 serving/week (small portions or rarely) | 3,1 serving/week | 4, 2-3 servings / week | 5, 4-5 servings / week | 6, 6 or more servings / week",,,,,,,y,,[12.8],,,"@p1000lang{""English"":""[12.8] Melons, any type including watermelons"",""Swahili"":""[12.8] Tikiti,aina yoyote ikiwemo tikiti maji"",""Cebuano"":""[12.8] Mga melon, bisan unsang klase apil ang mga pakwan"",""Hiligaynon"":""[12.8] Mga melon miskin ano nga klasi nalakip ang sandiya)""}  @p1000answers{""English"":{""1"":""Never"",""2"":""< 1 serving/week (small portions or rarely)"",""3"":""1 serving/week"",""4"":""2-3 servings / week"",""5"":""4-5 servings / week"",""6"":""6 or more servings / week""},""Swahili"":{""1"":""Sijawahi"",""2"":""< lesheni 1/wiki (kiasi kidogo au mara chache sana)"",""3"":""lesheni 1/wiki"",""4"":""lesheni 2-3/wiki"",""5"":""lesheni 4-5/wiki"",""6"":""lesheni 6 au zaidi/wiki""},""Cebuano"":{""1"":""Wala gyud"",""2"":""< 1 serving/semana (gagmay nga bahin o panagsa ra)"",""3"":""1 serving/semana"",""4"":""2-3 servings / semana"",""5"":""4 - 5 servings / semana"",""6"":""unom o sobra sa unom ka serbing kada semana""},""Hiligaynon"":{""1"":""Wala gid"",""2"":""Manubo sa isa ka semana (Diutay nga bahin ukon Malaka)"",""3"":""Ka-isa sa isa ka semana"",""4"":""Duwa ukon tatlo ka beses sa isa ka semana"",""5"":""Apat ukon lima ka beses sa isa ka semana"",""6"":""num ukon sobra sa anum ka serbing kada semana""}}","Melons, any type including watermelons",12.8
dry_fruit,crf_12_diet,,radio,"[12.10] Dried fruits, e.g. raisins, dates","1, Never | 2, <1 serving/week (small portions or rarely) | 3,1 serving/week | 4, 2-3 servings / week | 5, 4-5 servings / week | 6, 6 or more servings / week",,,,,,,y,,[12.10],,,"@p1000lang{""English"":""[12.10] Dried fruits, e.g. raisins, dates"",""Swahili"":""[12.10] Matunda yaliyokauka mf. zabibu, tende"",""Cebuano"":""[12.10] Dried fruits, e.g. raisins, dates"",""Hiligaynon"":""[12.10] Dried fruits, e.g. raisins, dates""}  @p1000answers{""English"":{""1"":""Never"",""2"":""< 1 serving/week (small portions or rarely)"",""3"":""1 serving/week"",""4"":""2-3 servings / week"",""5"":""4-5 servings / week"",""6"":""6 or more servings / week""},""Swahili"":{""1"":""Sijawahi"",""2"":""< lesheni 1/wiki (kiasi kidogo au mara chache sana)"",""3"":""lesheni 1/wiki"",""4"":""lesheni 2-3/wiki"",""5"":""lesheni 4-5/wiki"",""6"":""lesheni 6 au zaidi/wiki""},""Cebuano"":{""1"":""Wala gyud"",""2"":""< 1 serving/semana (gagmay nga bahin o panagsa ra)"",""3"":""1 serving/semana"",""4"":""2-3 servings / semana"",""5"":""4 - 5 servings / semana"",""6"":""unom o sobra sa unom ka serbing kada semana""},""Hiligaynon"":{""1"":""Wala gid"",""2"":""Manubo sa isa ka semana (Diutay nga bahin ukon Malaka)"",""3"":""Ka-isa sa isa ka semana"",""4"":""Duwa ukon tatlo ka beses sa isa ka semana"",""5"":""Apat ukon lima ka beses sa isa ka semana"",""6"":""num ukon sobra sa anum ka serbing kada semana""}}","Dried fruits, e.g. raisins, dates",12.1
